,C,kernel,accuracy
0,0.01,rbf,0.5171503957783641
1,0.027825594022071243,rbf,0.5171503957783641
2,0.0774263682681127,rbf,0.5171503957783641
3,0.21544346900318834,rbf,0.5171503957783641
4,0.5994842503189409,rbf,0.5171503957783641
5,1.6681005372000592,rbf,0.5329815303430079
6,4.6415888336127775,rbf,0.5316622691292876
7,12.915496650148826,rbf,0.5435356200527705
8,35.93813663804626,rbf,0.5514511873350924
9,100.0,rbf,0.5488126649076517
10,0.01,linear,0.5488126649076517
11,0.027825594022071243,linear,0.5514511873350924
12,0.0774263682681127,linear,0.5567282321899736
13,0.21544346900318834,linear,0.554089709762533
14,0.5994842503189409,linear,0.5448548812664907
15,1.6681005372000592,linear,0.5501319261213721
16,4.6415888336127775,linear,0.5593667546174143
17,12.915496650148826,linear,0.5448548812664907
18,35.93813663804626,linear,0.5343007915567283
19,100.0,linear,0.558047493403694
20,0.01,poly,0.5171503957783641
21,0.027825594022071243,poly,0.5171503957783641
22,0.0774263682681127,poly,0.5171503957783641
23,0.21544346900318834,poly,0.5171503957783641
24,0.5994842503189409,poly,0.5171503957783641
25,1.6681005372000592,poly,0.5171503957783641
26,4.6415888336127775,poly,0.5171503957783641
27,12.915496650148826,poly,0.5422163588390502
28,35.93813663804626,poly,0.5461741424802111
29,100.0,poly,0.5514511873350924
