Date,Close,position
2010-12-20,1.3164995908737183,1
2010-12-21,1.3118022680282593,1
2010-12-22,1.3090033531188965,1
2010-12-23,1.3115441799163818,1
2010-12-24,1.31271493434906,1
2010-12-27,1.3079760074615479,1
2010-12-28,1.3189654350280762,1
2010-12-29,1.3086265325546265,1
2010-12-30,1.3224539756774902,1
2010-12-31,1.3301233053207397,1
2011-01-03,1.3357912302017212,1
2011-01-04,1.3356841802597046,1
2011-01-05,1.3321077823638916,1
2011-01-06,1.3156856298446655,1
2011-01-07,1.2979933023452759,1
2011-01-10,1.289507269859314,1
2011-01-11,1.2964956760406494,1
2011-01-12,1.2983977794647217,1
2011-01-13,1.3128355741500854,1
2011-01-14,1.335327386856079,1
2011-01-17,1.3380253314971924,1
2011-01-18,1.3283917903900146,1
2011-01-19,1.3378105163574219,1
2011-01-20,1.3452069759368896,1
2011-01-21,1.3468012809753418,1
2011-01-24,1.361952543258667,1
2011-01-25,1.3644053936004639,1
2011-01-26,1.3686069250106812,1
2011-01-27,1.3710086345672607,1
2011-01-28,1.3723068237304688,1
2011-01-31,1.3572757244110107,1
2011-02-01,1.3713847398757935,1
2011-02-02,1.382991909980774,1
2011-02-03,1.3817880153656006,1
2011-02-04,1.362453579902649,1
2011-02-07,1.357496738433838,1
2011-02-08,1.359194278717041,1
2011-02-09,1.3626948595046997,1
2011-02-10,1.372099757194519,1
2011-02-11,1.3601926565170288,1
2011-02-14,1.3510043621063232,1
2011-02-15,1.3481086492538452,1
2011-02-16,1.3498555421829224,1
2011-02-17,1.357533574104309,1
2011-02-18,1.3626019954681396,1
2011-02-21,1.3713470697402954,1
2011-02-22,1.3682323694229126,1
2011-02-23,1.3673717975616455,1
2011-02-24,1.3764055967330933,1
2011-02-25,1.381998062133789,1
2011-02-28,1.373437762260437,1
2011-03-01,1.3821508884429932,1
2011-03-02,1.3771828413009644,1
2011-03-03,1.3866548538208008,1
2011-03-04,1.3958877325057983,1
2011-03-07,1.3990709781646729,1
2011-03-08,1.3963944911956787,1
2011-03-09,1.3897961378097534,1
2011-03-10,1.3902212381362915,1
2011-03-11,1.3801289796829224,1
2011-03-14,1.3934563398361206,1
2011-03-15,1.3992079496383667,1
2011-03-16,1.3986209630966187,1
2011-03-17,1.3884838819503784,1
2011-03-18,1.4032920598983765,1
2011-03-21,1.4170527458190918,1
2011-03-22,1.4217066764831543,1
2011-03-23,1.4168118238449097,1
2011-03-24,1.4105963706970215,1
2011-03-25,1.4171934127807617,1
2011-03-28,1.402603268623352,1
2011-03-29,1.4079747200012207,1
2011-03-30,1.411113977432251,1
2011-03-31,1.4121301174163818,1
2011-04-01,1.415869116783142,1
2011-04-04,1.4223334789276123,1
2011-04-05,1.422009825706482,1
2011-04-06,1.4219088554382324,1
2011-04-07,1.4335273504257202,1
2011-04-08,1.430206060409546,1
2011-04-11,1.446215271949768,1
2011-04-12,1.4437931776046753,1
2011-04-13,1.447638988494873,1
2011-04-14,1.444210171699524,1
2011-04-15,1.4432096481323242,1
2011-04-18,1.4412959814071655,1
2011-04-19,1.4223941564559937,1
2011-04-20,1.433794617652893,1
2011-04-21,1.4513999223709106,1
2011-04-22,1.455498218536377,1
2011-04-25,1.4557099342346191,1
2011-04-26,1.4578959941864014,1
2011-04-27,1.4687954187393188,1
2011-04-28,1.4779999256134033,1
2011-04-29,1.4844063520431519,1
2011-05-02,1.4793994426727295,1
2011-05-03,1.4823819398880005,1
2011-05-04,1.4833273887634277,1
2011-05-05,1.4829754829406738,1
2011-05-06,1.454439640045166,1
2011-05-09,1.4352967739105225,1
2011-05-10,1.4376078844070435,1
2011-05-11,1.44110906124115,1
2011-05-12,1.4211004972457886,1
2011-05-13,1.423791527748108,1
2011-05-16,1.4077963829040527,1
2011-05-17,1.415808916091919,1
2011-05-18,1.4268999099731445,1
2011-05-19,1.4255167245864868,1
2011-05-20,1.4316186904907227,1
2011-05-23,1.4105764627456665,1
2011-05-24,1.403666377067566,1
2011-05-25,1.4099003076553345,1
2011-05-26,1.4084903001785278,1
2011-05-27,1.4135074615478516,1
2011-05-30,1.4297356605529785,1
2011-05-31,1.4322338104248047,1
2011-06-01,1.4427932500839233,1
2011-06-02,1.434493899345398,1
